item,label,p_yes
1,Yes,1.0
2,Yes,1.0
3,Yes,1.0
4,Yes,1.0
5,Yes,1.0
6,Yes,1.0
7,Yes,1.0
8,Yes,1.0
9,Yes,0.9998920559883118
10,Yes,0.9999995827674866
11,Yes,0.9925872683525085
12,Yes,0.9986207485198975
13,Yes,1.0
14,Yes,1.0
15,Yes,1.0
16,Yes,1.0
17,Yes,1.0
18,Yes,1.0
19,Yes,1.0
20,Yes,1.0
21,Yes,0.9999998807907104
22,Yes,1.0
23,Yes,1.0
24,Yes,1.0
25,No,4.197385408133414e-07
26,No,1.6780757505330257e-05
27,Yes,0.9999998807907104
28,Yes,0.9999998807907104
29,Yes,1.0
30,Yes,1.0
31,Yes,1.0
32,Yes,1.0
33,Yes,1.0
34,Yes,1.0
35,Yes,1.0
36,Yes,1.0
37,Yes,1.0
38,Yes,1.0
39,Yes,1.0
40,Yes,1.0
41,Yes,1.0
42,Yes,1.0
43,Yes,1.0
44,Yes,1.0
45,Yes,1.0
46,Yes,1.0
47,Yes,1.0
48,Yes,1.0
49,Yes,1.0
50,Yes,1.0
51,Yes,1.0
52,Yes,1.0
53,Yes,1.0
54,Yes,1.0
55,Yes,1.0
56,Yes,1.0
57,Yes,1.0
58,Yes,1.0
59,Yes,1.0
60,Yes,1.0
61,Yes,1.0
62,Yes,1.0
63,Yes,1.0
64,Yes,1.0
65,Yes,1.0
66,Yes,1.0
67,Yes,1.0
68,Yes,1.0
69,Yes,1.0
70,Yes,1.0
71,Yes,1.0
72,Yes,1.0
73,Yes,1.0
74,Yes,1.0
75,Yes,1.0
76,Yes,1.0
77,Yes,0.9999998211860657
78,Yes,0.9957956671714783
79,Yes,0.9986402988433838
80,Yes,0.9999983906745911
81,Yes,1.0
82,Yes,1.0
83,Yes,0.9999999403953552
84,Yes,1.0
85,Yes,1.0
86,Yes,1.0
87,Yes,1.0
88,Yes,1.0
89,Yes,1.0
90,Yes,1.0
91,Yes,1.0
92,Yes,1.0
93,Yes,1.0
94,Yes,1.0
95,Yes,1.0
96,Yes,1.0
97,Yes,1.0
98,Yes,1.0
99,Yes,1.0
100,Yes,1.0
101,Yes,1.0
102,Yes,1.0
103,Yes,1.0
104,Yes,1.0
105,Yes,1.0
106,Yes,0.9999998807907104
107,Yes,1.0
108,Yes,1.0
109,Yes,1.0
110,Yes,1.0
111,Yes,1.0
112,Yes,1.0
113,Yes,1.0
114,Yes,1.0
115,Yes,1.0
116,Yes,1.0
117,Yes,1.0
118,Yes,1.0
119,Yes,1.0
120,Yes,1.0
121,Yes,1.0
122,Yes,1.0
123,Yes,1.0
124,Yes,1.0
125,Yes,1.0
126,Yes,1.0
127,Yes,1.0
128,Yes,1.0
129,Yes,1.0
130,Yes,1.0
131,Yes,1.0
132,Yes,1.0
133,Yes,1.0
134,Yes,1.0
135,Yes,0.9999998807907104
136,Yes,0.9999999403953552
137,Yes,1.0
138,Yes,1.0
139,Yes,1.0
140,Yes,1.0
141,Yes,1.0
142,Yes,1.0
143,Yes,1.0
144,Yes,1.0
145,Yes,1.0
146,Yes,1.0
147,Yes,1.0
148,Yes,1.0
149,Yes,1.0
150,Yes,1.0
151,Yes,1.0
152,Yes,1.0
153,Yes,1.0
154,Yes,1.0
155,Yes,1.0
156,Yes,1.0
157,Yes,1.0
158,Yes,1.0
159,Yes,1.0
160,Yes,1.0
161,Yes,1.0
162,Yes,1.0
163,Yes,1.0
164,Yes,1.0
165,Yes,1.0
166,Yes,1.0
167,Yes,1.0
168,Yes,1.0
169,Yes,1.0
170,Yes,1.0
171,Yes,1.0
172,Yes,1.0
173,Yes,1.0
174,Yes,1.0
175,Yes,1.0
176,Yes,1.0
177,Yes,1.0
178,Yes,1.0
179,Yes,1.0
180,Yes,1.0
181,Yes,1.0
182,Yes,1.0
183,Yes,1.0
184,Yes,1.0
185,Yes,1.0
186,Yes,1.0
187,Yes,1.0
188,Yes,1.0
189,Yes,1.0
190,Yes,1.0
191,Yes,1.0
192,Yes,1.0
193,Yes,1.0
194,Yes,1.0
195,Yes,1.0
196,Yes,1.0
197,Yes,1.0
198,Yes,1.0
199,Yes,1.0
200,Yes,1.0
201,Yes,0.999999463558197
202,Yes,1.0
203,Yes,0.9997031688690186
204,Yes,0.9999999403953552
205,Yes,1.0
206,Yes,1.0
207,Yes,1.0
208,Yes,1.0
209,Yes,1.0
210,Yes,1.0
211,Yes,1.0
212,Yes,1.0
213,Yes,1.0
214,Yes,1.0
215,Yes,1.0
216,Yes,1.0
217,Yes,1.0
218,Yes,1.0
219,Yes,1.0
220,Yes,1.0
221,Yes,1.0
222,Yes,1.0
223,Yes,1.0
224,Yes,1.0
225,Yes,1.0
226,Yes,1.0
227,Yes,1.0
228,Yes,1.0
229,Yes,1.0
230,Yes,1.0
231,Yes,1.0
232,Yes,1.0
233,Yes,1.0
234,Yes,1.0
235,Yes,1.0
236,Yes,1.0
237,Yes,1.0
238,Yes,1.0
239,Yes,1.0
240,Yes,1.0
241,Yes,1.0
242,Yes,1.0
243,Yes,1.0
244,Yes,1.0
245,Yes,1.0
246,Yes,1.0
247,Yes,1.0
248,Yes,0.9999998211860657
249,Yes,0.9999999403953552
250,Yes,0.9999999403953552
251,Yes,0.9999999403953552
252,Yes,0.9999999403953552
253,Yes,1.0
254,Yes,1.0
255,Yes,0.9999998807907104
256,Yes,0.9999999403953552
257,Yes,1.0
258,Yes,1.0
259,Yes,1.0
260,Yes,1.0
261,Yes,1.0
262,Yes,1.0
263,Yes,1.0
264,Yes,1.0
265,Yes,1.0
266,Yes,1.0
267,Yes,1.0
268,Yes,1.0
269,Yes,0.9999998807907104
270,Yes,1.0
271,Yes,0.9999980926513672
272,Yes,1.0
273,Yes,1.0
274,Yes,1.0
275,Yes,1.0
276,Yes,1.0
277,Yes,1.0
278,Yes,1.0
279,Yes,1.0
280,Yes,1.0
281,Yes,1.0
282,Yes,1.0
283,Yes,1.0
284,Yes,1.0
285,Yes,1.0
286,Yes,1.0
287,Yes,1.0
288,Yes,1.0
289,Yes,1.0
290,Yes,1.0
291,Yes,1.0
292,Yes,1.0
293,Yes,0.999993622303009
294,Yes,0.9999945759773254
295,Yes,1.0
296,Yes,1.0
297,Yes,1.0
298,Yes,1.0
299,Yes,1.0
300,Yes,1.0
301,Yes,1.0
302,Yes,1.0
303,Yes,1.0
304,Yes,1.0
305,Yes,1.0
306,Yes,0.9999999403953552
307,Yes,1.0
308,Yes,1.0
309,Yes,1.0
310,Yes,1.0
311,Yes,1.0
312,Yes,1.0
313,Yes,1.0
314,Yes,1.0
315,Yes,1.0
316,Yes,1.0
317,Yes,1.0
318,Yes,1.0
319,Yes,1.0
320,Yes,1.0
321,Yes,1.0
322,Yes,1.0
323,Yes,1.0
324,Yes,1.0
325,Yes,1.0
326,Yes,1.0
327,Yes,1.0
328,Yes,1.0
329,Yes,1.0
330,Yes,1.0
331,Yes,1.0
332,Yes,1.0
333,Yes,1.0
334,Yes,1.0
335,Yes,1.0
336,Yes,1.0
337,Yes,1.0
338,Yes,1.0
339,Yes,1.0
340,Yes,1.0
341,Yes,1.0
342,Yes,1.0
343,Yes,1.0
344,Yes,1.0
345,Yes,1.0
346,Yes,1.0
347,Yes,1.0
348,Yes,1.0
349,No,1.0953331752716622e-07
350,No,2.2504874408468822e-08
351,No,6.604948143973388e-09
352,No,5.561895832784103e-09
353,No,1.3702849521735061e-08
354,No,3.979828022693255e-09
355,No,1.7734574919714419e-09
356,No,2.583848968118474e-10
357,Yes,1.0
358,Yes,1.0
359,Yes,1.0
360,Yes,1.0
361,Yes,0.8169813752174377
362,No,0.09802316874265671
363,Yes,0.9999996423721313
364,Yes,0.9995831251144409
365,Yes,1.0
366,Yes,1.0
367,Yes,1.0
368,Yes,1.0
369,Yes,1.0
370,Yes,1.0
371,Yes,1.0
372,Yes,1.0
373,No,1.9212704760462884e-09
374,No,2.272621713927947e-06
375,No,1.5738502057160986e-08
376,No,2.6679444431465527e-07
377,Yes,0.9999951124191284
378,No,0.008950542658567429
379,Yes,0.999999463558197
380,Yes,0.9997576475143433
381,Yes,1.0
382,Yes,1.0
383,Yes,1.0
384,Yes,1.0
385,Yes,0.9999966025352478
386,Yes,0.9999797940254211
387,Yes,1.0
388,Yes,1.0
389,Yes,1.0
390,Yes,1.0
391,Yes,1.0
392,Yes,1.0
393,Yes,1.0
394,Yes,1.0
395,Yes,1.0
396,Yes,1.0
397,Yes,1.0
398,Yes,1.0
399,Yes,1.0
400,Yes,1.0
401,Yes,1.0
402,Yes,1.0
403,Yes,1.0
404,Yes,1.0
405,Yes,1.0
406,Yes,1.0
407,Yes,1.0
408,Yes,1.0
409,Yes,1.0
410,Yes,1.0
411,Yes,1.0
412,Yes,1.0
413,Yes,1.0
414,Yes,1.0
415,Yes,1.0
416,Yes,1.0
417,Yes,1.0
418,Yes,1.0
419,Yes,0.9999999403953552
420,Yes,1.0
421,Yes,1.0
422,Yes,1.0
423,Yes,1.0
424,Yes,1.0
425,Yes,1.0
426,Yes,1.0
427,Yes,1.0
428,Yes,1.0
429,Yes,0.9999985694885254
430,Yes,0.9999999403953552
431,Yes,0.9638853073120117
432,Yes,0.7604209780693054
433,Yes,1.0
434,Yes,1.0
435,Yes,1.0
436,Yes,1.0
437,Yes,1.0
438,Yes,1.0
439,Yes,1.0
440,Yes,1.0
441,Yes,1.0
442,Yes,1.0
443,Yes,1.0
444,Yes,1.0
445,Yes,1.0
446,Yes,1.0
447,Yes,1.0
448,Yes,1.0
449,Yes,1.0
450,Yes,1.0
451,Yes,1.0
452,Yes,1.0
453,Yes,1.0
454,Yes,0.9999999403953552
455,Yes,1.0
456,Yes,1.0
457,Yes,1.0
458,Yes,1.0
459,Yes,1.0
460,Yes,1.0
461,Yes,1.0
462,Yes,1.0
463,Yes,1.0
464,Yes,1.0
465,Yes,1.0
466,Yes,1.0
467,Yes,1.0
468,Yes,1.0
469,Yes,0.9999957084655762
470,Yes,0.9641010761260986
471,Yes,0.9999986886978149
472,Yes,0.9998936057090759
473,Yes,1.0
474,Yes,1.0
475,Yes,1.0
476,Yes,1.0
477,Yes,1.0
478,Yes,1.0
479,Yes,1.0
480,Yes,1.0
481,Yes,1.0
482,Yes,1.0
483,Yes,1.0
484,Yes,1.0
485,Yes,1.0
486,Yes,1.0
487,Yes,1.0
488,Yes,1.0
489,Yes,1.0
490,Yes,1.0
491,Yes,1.0
492,Yes,1.0
493,Yes,1.0
494,Yes,1.0
495,Yes,1.0
496,Yes,1.0
497,Yes,0.8775821328163147
498,No,0.06999590247869492
499,Yes,0.9789500832557678
500,Yes,0.9979251623153687
501,Yes,1.0
502,Yes,1.0
503,Yes,0.9999999403953552
504,Yes,1.0
505,Yes,1.0
506,Yes,1.0
507,Yes,1.0
508,Yes,1.0
509,Yes,1.0
510,Yes,1.0
511,Yes,1.0
512,Yes,1.0
513,Yes,1.0
514,Yes,1.0
515,Yes,1.0
516,Yes,1.0
517,Yes,1.0
518,Yes,1.0
519,Yes,1.0
520,Yes,1.0
521,Yes,1.0
522,Yes,1.0
523,Yes,0.9999998807907104
524,Yes,1.0
525,Yes,1.0
526,Yes,1.0
527,Yes,1.0
528,Yes,1.0
529,Yes,1.0
530,Yes,1.0
531,Yes,1.0
532,Yes,1.0
533,Yes,1.0
534,Yes,1.0
535,Yes,1.0
536,Yes,1.0
537,Yes,1.0
538,Yes,1.0
539,Yes,1.0
540,Yes,1.0
541,Yes,1.0
542,Yes,1.0
543,Yes,1.0
544,Yes,1.0
545,Yes,1.0
546,Yes,1.0
547,Yes,1.0
548,Yes,1.0
549,Yes,1.0
550,Yes,1.0
551,Yes,1.0
552,Yes,1.0
553,Yes,1.0
554,Yes,1.0
555,Yes,1.0
556,Yes,1.0
557,Yes,1.0
558,Yes,1.0
559,Yes,1.0
560,Yes,1.0
561,Yes,1.0
562,Yes,1.0
563,Yes,1.0
564,Yes,1.0
565,Yes,1.0
566,Yes,0.9999999403953552
567,Yes,1.0
568,Yes,1.0
569,Yes,1.0
570,Yes,1.0
571,Yes,1.0
572,Yes,1.0
573,Yes,1.0
574,Yes,1.0
575,Yes,1.0
576,Yes,1.0
577,Yes,0.9999999403953552
578,Yes,1.0
579,Yes,0.9999991059303284
580,Yes,1.0
581,Yes,0.9999513030052185
582,Yes,1.0
583,Yes,0.9993615746498108
584,Yes,1.0
585,Yes,0.9999998211860657
586,Yes,1.0
587,Yes,0.9999964237213135
588,Yes,1.0
589,Yes,1.0
590,Yes,1.0
591,Yes,1.0
592,Yes,1.0
593,Yes,1.0
594,Yes,1.0
595,Yes,1.0
596,Yes,1.0
597,Yes,1.0
598,Yes,1.0
599,Yes,0.9999998807907104
600,Yes,0.9999972581863403
601,Yes,1.0
602,Yes,1.0
603,Yes,1.0
604,Yes,1.0
605,Yes,1.0
606,Yes,1.0
607,Yes,0.9999998807907104
608,Yes,1.0
609,Yes,1.0
610,Yes,1.0
611,Yes,1.0
612,Yes,1.0
613,No,0.0003747165319509804
614,No,1.9794551917584613e-05
615,No,0.0023581525310873985
616,No,3.1205834716274694e-07
617,Yes,1.0
618,Yes,1.0
619,Yes,1.0
620,Yes,1.0
621,Yes,1.0
622,Yes,1.0
623,Yes,1.0
624,Yes,1.0
625,Yes,1.0
626,Yes,1.0
627,Yes,1.0
628,Yes,1.0
629,Yes,0.9999895095825195
630,Yes,0.8575080037117004
631,Yes,0.9999999403953552
632,Yes,0.9999997019767761
633,Yes,1.0
634,Yes,1.0
635,Yes,1.0
636,Yes,1.0
637,Yes,1.0
638,Yes,1.0
639,Yes,1.0
640,Yes,1.0
641,Yes,1.0
642,Yes,1.0
643,Yes,1.0
644,Yes,1.0
645,Yes,0.9999998807907104
646,Yes,0.9999999403953552
647,Yes,1.0
648,Yes,1.0
649,Yes,0.9999884963035583
650,Yes,0.9999973177909851
651,Yes,1.0
652,Yes,1.0
653,Yes,1.0
654,Yes,1.0
655,Yes,1.0
656,Yes,1.0
657,Yes,1.0
658,Yes,1.0
659,Yes,1.0
660,Yes,1.0
661,Yes,1.0
662,Yes,1.0
663,Yes,1.0
664,Yes,1.0
665,Yes,1.0
666,Yes,1.0
667,Yes,1.0
668,Yes,1.0
669,Yes,1.0
670,Yes,1.0
671,Yes,1.0
672,Yes,1.0
673,Yes,1.0
674,Yes,1.0
675,Yes,1.0
676,Yes,1.0
677,Yes,1.0
678,Yes,1.0
679,Yes,1.0
680,Yes,1.0
681,Yes,1.0
682,Yes,1.0
683,Yes,1.0
684,Yes,1.0
685,Yes,1.0
686,Yes,1.0
687,Yes,1.0
688,Yes,1.0
689,Yes,1.0
690,Yes,1.0
691,Yes,1.0
692,Yes,1.0
693,Yes,1.0
694,Yes,1.0
695,Yes,1.0
696,Yes,1.0
697,Yes,1.0
698,Yes,1.0
699,Yes,1.0
700,Yes,1.0
701,Yes,1.0
702,Yes,1.0
703,Yes,1.0
704,Yes,1.0
705,Yes,0.9849721193313599
706,Yes,0.9999997615814209
707,Yes,1.0
708,Yes,1.0
709,Yes,0.9999998807907104
710,Yes,1.0
711,Yes,1.0
712,Yes,1.0
713,Yes,1.0
714,Yes,1.0
715,Yes,1.0
716,Yes,1.0
717,Yes,1.0
718,Yes,1.0
719,Yes,1.0
720,Yes,1.0
721,Yes,1.0
722,Yes,1.0
723,Yes,0.9999996423721313
724,Yes,1.0
725,Yes,1.0
726,Yes,1.0
727,Yes,1.0
728,Yes,1.0
729,Yes,1.0
730,Yes,1.0
731,Yes,1.0
732,Yes,1.0
733,Yes,1.0
734,Yes,1.0
735,Yes,1.0
736,Yes,1.0
737,Yes,1.0
738,Yes,1.0
739,Yes,1.0
740,Yes,1.0
741,Yes,0.9999998807907104
742,Yes,1.0
743,Yes,1.0
744,Yes,1.0
745,No,3.287395702877838e-11
746,No,2.022669011447764e-11
747,No,3.1305076586551905e-11
748,No,1.442358593672921e-10
749,Yes,1.0
750,Yes,1.0
751,Yes,1.0
752,Yes,1.0
753,Yes,1.0
754,Yes,1.0
755,Yes,1.0
756,Yes,1.0
757,Yes,1.0
758,Yes,1.0
759,Yes,1.0
760,Yes,1.0
761,Yes,0.9999999403953552
762,Yes,1.0
